EMPLOYER	JOB TITLE	BASE SALARY	LOCATION	SUBMIT DATE	START DATE
DEKA RESEARCH & DEVELOPMENT CORPORATION	MACHINE LEARNING ENGINEER	88000.0	MANCHESTER, NH	05/05/2020	10/01/2020
COHERE HEALTH INC	MACHINE LEARNING ENGINEER	88005.0	SOMERVILLE, MA	05/04/2022	10/01/2022
DIFFBOT TECHNOLOGIES CORP	MACHINE LEARNING ENGINEER	88254.0	PALO ALTO, CA	02/27/2015	08/26/2015
DIFFBOT TECHNOLOGIES CORP	MACHINE LEARNING ENGINEER	88254.0	PALO ALTO, CA	02/27/2015	08/26/2015
DIFFBOT TECHNOLOGIES CORP	MACHINE LEARNING ENGINEER	88254.0	PALO ALTO, CA	02/27/2015	08/26/2015
ACV AUCTIONS INC	MACHINE LEARNING ENGINEER	88296.0	BUFFALO, NY	03/05/2019	09/04/2019
PTEC SOLUTIONS INC	MACHINE LEARNING ENGINEER	88691.0	SAN JOSE, CA	04/23/2020	10/01/2020
PTEC SOLUTIONS INC	MACHINE LEARNING ENGINEER	88691.0	SAN JOSE, CA	04/25/2020	10/01/2020
STOCKX LLC	MACHINE LEARNING ENGINEER	88816.0	HILLSBORO, OR	05/25/2022	10/01/2022
COHERE HEALTH INC	MACHINE LEARNING ENGINEER	89000.0	BOSTON, MA	05/19/2021	10/01/2021
QUALCOMM TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	89600.0	SAN DIEGO, CA	11/13/2017	05/15/2018
E SOURCE COMPANIES LLC	MACHINE LEARNING ENGINEER	89739.0	HARRISON, NJ	05/31/2022	10/01/2022
IMAGRY INC	MACHINE LEARNING ENGINEER	90000.0	TEMPE, AZ	04/09/2020	10/01/2020
CURATE SOLUTIONS INC	MACHINE LEARNING ENGINEER	90000.0	MADISON, WI	05/14/2021	10/01/2021
ROAM ANALYTICS INC	MACHINE LEARNING ENGINEER	90000.0	SAN MATEO, CA	03/22/2016	09/20/2016
PATHWARE INC	MACHINE LEARNING ENGINEER	90000.0	SANDY SPRINGS, GA	05/25/2021	10/01/2021
FLOCK GROUP INC	MACHINE LEARNING ENGINEER	90000.0	ATLANTA, GA	03/13/2019	09/07/2019
CONTEXT RELEVANT INC	MACHINE LEARNING ENGINEER	90000.0	SEATTLE, WA	02/28/2017	08/30/2017
FACTSET RESEARCH SYSTEMS INC	MACHINE LEARNING ENGINEER	90000.0	NEW YORK, NY	03/03/2017	08/30/2017
CB INFORMATION SERVICES INC	MACHINE LEARNING ENGINEER	90000.0	NEW YORK, NY	03/06/2015	03/06/2015
FACTSET RESEARCH SYSTEMS INC	MACHINE LEARNING ENGINEER	90000.0	NEW YORK, NY	03/03/2017	08/30/2017
FACTSET RESEARCH SYSTEMS INC	MACHINE LEARNING ENGINEER	90000.0	NEW YORK, NY	03/03/2017	08/30/2017
214 TECHNOLOGIES INC (DBA TRUEFACE)	MACHINE LEARNING ENGINEER	90000.0	VALLEY VILLAGE, CA	03/15/2021	09/01/2021
BURST INC	MACHINE LEARNING ENGINEER	90000.0	BOSTON, MA	03/03/2017	08/30/2017
CLAIMKIT INC	MACHINE LEARNING ENGINEER	90000.0	NEW JERSEY, NJ	03/23/2018	09/07/2018
STARSKY ROBOTICS INC	MACHINE LEARNING ENGINEER	90000.0	SAN FRANCISCO, CA	03/13/2017	09/11/2017
PATHWARE INC	MACHINE LEARNING ENGINEER	90000.0	SANDY SPRINGS, GA	04/15/2021	10/01/2021
CLAIMKIT INC	MACHINE LEARNING ENGINEER	90000.0	SECAUCUS, NJ	03/20/2019	09/07/2019
QUANTIPHI INC	MACHINE LEARNING ENGINEER	90000.0	MARLBOROUGH, MA	03/20/2019	09/16/2019
QUANTIPHI INC	MACHINE LEARNING ENGINEER	90000.0	MARLBOROUGH, MA	03/20/2019	09/16/2019
ADROIT WORLDWIDE MEDIA INC	MACHINE LEARNING ENGINEER	90000.0	ALISO VIEJO, CA	12/30/2019	01/06/2020
YOUSPACE INC	MACHINE LEARNING ENGINEER	90000.0	SANTA CLARA, CA	03/25/2019	08/31/2019
VIDURAMA INC	MACHINE LEARNING ENGINEER	90000.0	PALO ALTO, CA	10/24/2018	12/01/2018
VERIDIC SOLUTIONS LLC	MACHINE LEARNING ENGINEER	90000.0	PHILADELPHIA, PA	07/06/2020	07/13/2020
UNIVERSAL ROBOTICS INC	MACHINE LEARNING ENGINEER	90000.0	NASHVILLE, TN	04/16/2022	10/01/2022
ASPIRING UNIVERSE CORPORATION	MACHINE LEARNING ENGINEER	90000.0	CHAMPAIGN, IL	04/19/2022	10/01/2022
RADICLE SCIENCE INC	MACHINE LEARNING ENGINEER	90000.0	CALABASAS, CA	04/19/2022	10/01/2022
ASPIRING UNIVERSE CORPORATION	MACHINE LEARNING ENGINEER	90000.0	CHAMPAIGN, IL	05/04/2022	10/01/2022
PRIME BUSINESS TECHNOLOGIES INC	MACHINE LEARNING ENGINEER	90022.0	DOWNERS GROVE, IL	06/02/2021	10/01/2021
TRIMBLE INC	MACHINE LEARNING ENGINEER	90106.0	NORCROSS, GA	03/04/2019	07/25/2019
CALYPSO SOFT INC	MACHINE LEARNING ENGINEER	90397.0	WESTCHESTER, IL	05/13/2022	10/01/2022
WEST COAST CONSULTING LLC	MACHINE LEARNING ENGINEER	90500.0	AUSTIN, TX	02/14/2019	08/13/2019
INFOLOB SOLUTIONS INC	MACHINE LEARNING ENGINEER	90646.0	IRVING, TX	03/14/2018	09/12/2018
INFOLOB SOLUTIONS INC	MACHINE LEARNING ENGINEER	90646.0	IRVING, TX	03/14/2018	09/12/2018
THE VANGUARD GROUP	MACHINE LEARNING ENGINEER	91080.0	MALVERN, PA	03/11/2019	09/10/2019
GLAXOSMITHKLINE LLC	MACHINE LEARNING ENGINEER	91533.0	COLLEGEVILLE, PA	02/22/2019	08/21/2019
QUICKEN LOANS INC	MACHINE LEARNING ENGINEER	92000.0	DETROIT, MI	04/03/2018	04/03/2018
QUANTIPHI INC	MACHINE LEARNING ENGINEER	92498.0	MARLBOROUGH, MA	06/05/2020	10/01/2020
ROOT AI INC	MACHINE LEARNING ENGINEER	92500.0	WOBURN, MA	04/23/2020	10/01/2020
COCOSOFT INC	MACHINE LEARNING ENGINEER	92685.0	DOWNERS GROVE, IL	09/09/2021	10/01/2021
DEKA RESEARCH & DEVELOPMENT CORPORATION	MACHINE LEARNING ENGINEER	93000.0	MANCHESTER, NH	05/05/2020	10/01/2020
SISU DATA INC	MACHINE LEARNING ENGINEER	93000.0	SAN FRANCISCO, CA	04/05/2021	10/01/2021
SKYSPECS INC	MACHINE LEARNING ENGINEER	93000.0	ANN ARBOR, MI	03/18/2019	09/16/2019
SKYSPECS INC	MACHINE LEARNING ENGINEER	93000.0	ANN ARBOR, MI	03/18/2019	09/16/2019
JAMES R GLIDEWELL DENTAL CERAMICS INC	MACHINE LEARNING ENGINEER	93360.0	IRVINE, CA	02/27/2018	08/25/2018
JAMES R GLIDEWELL DENTAL CERAMICS INC	MACHINE LEARNING ENGINEER	93360.0	IRVINE, CA	03/15/2019	09/05/2019
MOUNTAIN IT SOLUTIONS LLC	MACHINE LEARNING ENGINEER	93538.0	DALLAS, TX	03/15/2019	09/14/2019
AMERICAN UNIT INC	MACHINE LEARNING ENGINEER	93538.0	IRVING, TX	03/04/2019	09/01/2019
